"No.","Time","Source","Destination","Protocol","Length","Info"
"16894","18.033472","10.100.102.1","10.100.102.6","DNS","275","Standard query response 0x6e8b A nr-events.taboola.com CNAME tls13.taboola.map.fastly.net A 199.232.137.44 NS ns4.fastly.net NS ns3.fastly.net NS ns1.fastly.net NS ns2.fastly.net A 23.235.32.32 A 104.156.80.32 A 23.235.36.32 A 104.156.84.32"
"16934","18.050097","10.100.102.6","10.100.102.1","DNS","71","Standard query 0xae42 A cdn.popt.in"
"17032","18.086479","10.100.102.6","10.100.102.1","DNS","71","Standard query 0xae42 A cdn.popt.in"
"17036","18.087468","10.100.102.1","10.100.102.6","DNS","442","Standard query response 0xae42 A cdn.popt.in A 104.26.0.26 A 104.26.1.26 A 172.67.70.79 NS anirban.ns.cloudflare.com NS sofia.ns.cloudflare.com A 108.162.192.223 A 172.64.32.223 A 173.245.58.223 A 172.64.33.64 A 173.245.59.64 A 108.162.193.64 AAAA 2a06:98c1:50::ac40:20df AAAA 2606:4700:50::adf5:3adf AAAA 2803:f800:50::6ca2:c0df AAAA 2a06:98c1:50::ac40:2140 AAAA 2606:4700:58::adf5:3b40 AAAA 2803:f800:50::6ca2:c140"
"17248","18.122506","10.100.102.1","10.100.102.6","DNS","442","Standard query response 0xae42 A cdn.popt.in A 104.26.0.26 A 104.26.1.26 A 172.67.70.79 NS anirban.ns.cloudflare.com NS sofia.ns.cloudflare.com A 108.162.192.223 A 172.64.32.223 A 173.245.58.223 A 172.64.33.64 A 173.245.59.64 A 108.162.193.64 AAAA 2a06:98c1:50::ac40:20df AAAA 2606:4700:50::adf5:3adf AAAA 2803:f800:50::6ca2:c0df AAAA 2a06:98c1:50::ac40:2140 AAAA 2606:4700:58::adf5:3b40 AAAA 2803:f800:50::6ca2:c140"
"17333","18.130632","10.100.102.6","10.100.102.1","DNS","74","Standard query 0x47e9 A www.google.com"
"17389","18.139341","10.100.102.6","10.100.102.1","DNS","76","Standard query 0xd56f A www.google.co.il"
"17510","18.152960","10.100.102.1","10.100.102.6","DNS","338","Standard query response 0x47e9 A www.google.com A 216.58.204.228 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"17572","18.166364","10.100.102.1","10.100.102.6","DNS","322","Standard query response 0xd56f A www.google.co.il A 216.58.213.99 NS ns1.google.com NS ns2.google.com NS ns3.google.com NS ns4.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"18161","18.269651","10.100.102.6","10.100.102.1","DNS","89","Standard query 0x82de A d1clufhfw8sswh.cloudfront.net"
"18162","18.273831","10.100.102.6","10.100.102.1","DNS","82","Standard query 0xe7b8 A ynet-images1.yit.co.il"
"18163","18.274353","10.100.102.6","10.100.102.1","DNS","70","Standard query 0xa211 A ynet.co.il"
"18221","18.304874","10.100.102.6","10.100.102.1","DNS","82","Standard query 0xe7b8 A ynet-images1.yit.co.il"
"18222","18.304874","10.100.102.6","10.100.102.1","DNS","89","Standard query 0x82de A d1clufhfw8sswh.cloudfront.net"
"18272","18.320833","10.100.102.6","10.100.102.1","DNS","70","Standard query 0xa211 A ynet.co.il"
"18412","18.338641","10.100.102.1","10.100.102.6","DNS","156","Standard query response 0x82de A d1clufhfw8sswh.cloudfront.net SOA ns-418.awsdns-52.com"
