No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,Num of packets
45489,31.311913,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8243494 Win=2144256 Len=0,,,,,,,
45490,31.311913,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8241000 Win=2142208 Len=0,,,,,,,
45494,31.311913,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8246354 Win=2144000 Len=0,,,,,,,
45498,31.312567,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8249214 Win=2144000 Len=0,,,,,,,
45499,31.312567,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8251708 Win=2144256 Len=0,,,,,,,
45504,31.316991,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8258858 Win=2141184 Len=0,,,,,,,
45505,31.316991,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8259922 Win=2145280 Len=0,,,,,,,
45510,31.321484,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8265642 Win=2142208 Len=0,,,,,,,
45511,31.321484,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8268136 Win=2145280 Len=0,,,,,,,
45513,31.321484,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8276350 Win=2145280 Len=0,,,,,,,
45514,31.321484,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8279210 Win=2144000 Len=0,,,,,,,
45515,31.321484,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8282070 Win=2145024 Len=0,,,,,,,
45516,31.321484,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8284564 Win=2145280 Len=0,,,,,,,
45531,31.336802,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23293612 Win=7915 Len=0,,,,,,,
45535,31.337753,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23296472 Win=7911 Len=0,,,,,,,
45537,31.339638,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23299332 Win=7911 Len=0,,,,,,,
45538,31.339638,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23301826 Win=7915 Len=0,,,,,,,
45540,31.339638,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23306116 Win=7907 Len=0,,,,,,,
45541,31.339638,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8287424 Win=2144000 Len=0,,,,,,,
45542,31.339638,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8290284 Win=2145024 Len=0,,,,,,,
45543,31.339638,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8292778 Win=2145280 Len=0,,,,,,,
45554,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23312900 Win=7900 Len=0,,,,,,,
45555,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23308976 Win=7914 Len=0,,,,,,,
45556,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23318254 Win=7889 Len=0,,,,,,,
45557,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23321114 Win=7911 Len=0,,,,,,,
45558,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23323974 Win=7911 Len=0,,,,,,,
45560,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23326468 Win=7915 Len=0,,,,,,,
45561,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23329328 Win=7911 Len=0,,,,,,,
45563,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23332188 Win=7911 Len=0,,,,,,,
45564,31.342564,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23334682 Win=7911 Len=0,,,,,,,
